song_id,title,artist,language,Hybrid RecSys,collaborative Filtering,context,instrumentation,mood_tags,status,lyrics,emotion_label,genre,release_year,duration_sec,tempo,key,energy,valence,mfcc_mean,audio_path,lyrics_path
84,Dil Diyan Gallan,Atif Aslam,Hindi,Yes,Yes,,,,active,"""Dil diyan gallan...""",Romantic,Bollywood,2017,280,70,E,0.58,0.69,0.46,audio/dil_diyan_gallan.mp3,lyrics/dil_diyan_gallan.txt
85,Pee Loon,Mohit Chauhan,Hindi,Yes,Yes,,,,active,"""Pee loon...""",Romantic,Bollywood,2010,275,72,C,0.5,0.65,0.44,audio/pee_loon.mp3,lyrics/pee_loon.txt
86,Sun Saathiya,"Priya Saraiya, Divya Kumar",Hindi,Yes,Yes,,,,active,"""Sun saathiya...""",Romantic,Bollywood,2015,270,74,D,0.53,0.66,0.45,audio/sun_saathiya.mp3,lyrics/sun_saathiya.txt
87,Galliyan,Ankit Tiwari,Hindi,Yes,Yes,,,,active,"""Galliyan...""",Romantic,Bollywood,2014,280,70,E,0.55,0.67,0.45,audio/galliyan.mp3,lyrics/galliyan.txt
88,Tum Mile,Neeraj Shridhar,Hindi,Yes,Yes,,,,active,"""Tum mile...""",Romantic,Bollywood,2009,290,68,C,0.5,0.64,0.43,audio/tum_mile.mp3,lyrics/tum_mile.txt
89,Muskurane,Arijit Singh,Hindi,Yes,Yes,,,,active,"""Muskurane...""",Romantic,Bollywood,2014,275,72,D,0.52,0.67,0.44,audio/muskurane.mp3,lyrics/muskurane.txt
90,Weightless,Marconi Union,English,Yes,Yes,,,,active,(Instrumental),Calm,Ambient,2011,480,60,C,0.2,0.9,0.35,audio/weightless.mp3,lyrics/weightless.txt
91,Let It Be,The Beatles,English,Yes,Yes,,,,active,"""When I find myself in times of trouble...""",Hopeful,Rock,1970,243,75,C,0.55,0.75,0.45,audio/let_it_be.mp3,lyrics/let_it_be.txt
92,Someone Like You,Adele,English,Yes,Yes,,,,active,"""Never mind, I'll find someone like you...""",Sad,Pop,2011,285,68,A,0.45,0.4,0.38,audio/someone_like_you.mp3,lyrics/someone_like_you.txt
93,What A Wonderful World,Louis Armstrong,English,Yes,Yes,,,,active,"""I see trees of green, red roses too...""",Happy,Jazz,1967,140,72,F,0.5,0.85,0.42,audio/what_a_wonderful_world.mp3,lyrics/what_a_wonderful_world.txt
94,Your Song,Elton John,English,Yes,Yes,,,,active,"""It's a little bit funny, this feeling inside...""",Romantic,Pop,1970,240,70,B?,0.6,0.7,0.46,audio/your_song.mp3,lyrics/your_song.txt
95,Fix You,Coldplay,English,Yes,Yes,,,,active,"""When you try your best but you don't succeed...""",Hopeful,Alternative,2005,295,65,E?,0.58,0.7,0.44,audio/fix_you.mp3,lyrics/fix_you.txt
96,Orinoco Flow,Enya,English,Yes,Yes,,,,active,"""Sail away, sail away, sail away...""",Relaxing,New Age,1988,250,80,C,0.3,0.75,0.36,audio/orinoco_flow.mp3,lyrics/orinoco_flow.txt
97,Thinking Out Loud,Ed Sheeran,English,Yes,Yes,,,,active,"""When your legs don't work like they used to before...""",Romantic,Pop,2014,280,74,D,0.55,0.73,0.45,audio/thinking_out_loud.mp3,lyrics/thinking_out_loud.txt
98,All of Me,John Legend,English,Yes,Yes,,,,active,"""'Cause all of me loves all of you...""",Romantic,R&B,2013,270,65,A?,0.52,0.7,0.44,audio/all_of_me.mp3,lyrics/all_of_me.txt
99,Stay With Me,Sam Smith,English,Yes,Yes,,,,active,"""Guess it's true, I'm not good at a one-night stand...""",Sad,Soul,2014,180,70,F,0.45,0.42,0.39,audio/stay_with_me.mp3,lyrics/stay_with_me.txt
100,Counting Stars,OneRepublic,English,Yes,Yes,,,,active,"""Lately, I've been, I've been losing sleep...""",Energetic,Pop,2013,260,104,C,0.7,0.6,0.5,audio/counting_stars.mp3,lyrics/counting_stars.txt
101,Firework,Katy Perry,English,Yes,Yes,,,,active,"""Cause baby, you're a firework...""",Empowering,Pop,2010,230,124,F#,0.75,0.8,0.55,audio/firework.mp3,lyrics/firework.txt
102,Lose Yourself,Eminem,English,Yes,Yes,,,,active,"""Look, if you had one shot, one opportunity...""",Motivational,Hip-Hop,2002,320,88,D#,0.85,0.5,0.6,audio/lose_yourself.mp3,lyrics/lose_yourself.txt
103,Eye of the Tiger,Survivor,English,Yes,Yes,,,,active,"""Risin' up, back on the street...""",Motivational,Rock,1982,245,109,C#,0.8,0.6,0.55,audio/eye_of_the_tiger.mp3,lyrics/eye_of_the_tiger.txt
104,Perfect,Ed Sheeran,English,Yes,Yes,,,,active,"""I found a love for me...""",Romantic,Pop,2017,263,63,A,0.55,0.7,0.44,audio/perfect.mp3,lyrics/perfect.txt
105,Photograph,Ed Sheeran,English,Yes,Yes,,,,active,"""Loving can hurt, loving can hurt sometimes...""",Nostalgic,Pop,2014,258,72,E,0.5,0.6,0.43,audio/photograph.mp3,lyrics/photograph.txt
106,Say You Won't Let Go,James Arthur,English,Yes,Yes,,,,active,"""I met you in the dark, you lit me up...""",Romantic,Pop,2016,245,84,C,0.53,0.7,0.44,audio/say_you_wont_let_go.mp3,lyrics/say_you_wont_let_go.txt
107,I Wanna Be Yours,Arctic Monkeys,English,Yes,Yes,,,,active,"""I wanna be your vacuum cleaner...""",Romantic,Indie Rock,2013,200,95,E,0.6,0.7,0.45,audio/i_wanna_be_yours.mp3,lyrics/i_wanna_be_yours.txt
108,Yellow,Coldplay,English,Yes,Yes,,,,active,"""Look at the stars, look how they shine for you...""",Romantic,Rock,2000,270,80,B,0.5,0.65,0.43,audio/yellow.mp3,lyrics/yellow.txt
109,The Night We Met,Lord Huron,English,Yes,Yes,,,,active,"""I am not the only traveler...""",Melancholy,Indie,2015,180,72,D,0.4,0.4,0.38,audio/the_night_we_met.mp3,lyrics/the_night_we_met.txt
110,Die For You,The Weeknd,English,Yes,Yes,,,,active,"""I'm findin' ways to articulate...""",Passionate,R&B,2016,240,72,G,0.65,0.6,0.46,audio/die_for_you.mp3,lyrics/die_for_you.txt
111,Just the Way You Are,Bruno Mars,English,Yes,Yes,,,,active,"""Oh, her eyes, her eyes make the stars look like they're not shining...""",Romantic,Pop,2010,220,74,F#,0.6,0.7,0.44,audio/just_the_way_you_are.mp3,lyrics/just_the_way_you_are.txt
112,Hello,Adele,English,Yes,Yes,,,,active,"""Hello, it's me...""",Melancholy,Pop,2015,295,79,F,0.45,0.4,0.39,audio/hello.mp3,lyrics/hello.txt
113,I Say A Little Prayer,Aretha Franklin,English,Yes,Yes,,,,active,"""The moment I wake up, before I put on my makeup...""",Hopeful,Soul,1968,185,100,D,0.55,0.7,0.45,audio/i_say_a_little_prayer.mp3,lyrics/i_say_a_little_prayer.txt
114,Morning Has Broken,Cat Stevens,English,Yes,Yes,,,,active,"""Morning has broken, like the first morning...""",Peaceful,Folk,1971,210,60,G,0.35,0.8,0.35,audio/morning_has_broken.mp3,lyrics/morning_has_broken.txt
115,Peaceful Easy Feeling,Eagles,English,Yes,Yes,,,,active,"""I like the way your sparkling earrings lay...""",Calm,Rock,1972,240,75,C,0.5,0.75,0.43,audio/peaceful_easy_feeling.mp3,lyrics/peaceful_easy_feeling.txt
116,"Lay, Lady Lay",Bob Dylan,English,Yes,Yes,,,,active,"""Lay, lady, lay, lay across my big brass bed...""",Romantic,Folk Rock,1969,220,70,A,0.5,0.7,0.42,audio/lay_lady_lay.mp3,lyrics/lay_lady_lay.txt
117,Somewhere Only We Know,Keane,English,Yes,Yes,,,,active,"""I walked across an empty land...""",Nostalgic,Alternative,2004,230,75,C,0.5,0.55,0.43,audio/somewhere_only_we_know.mp3,lyrics/somewhere_only_we_know.txt
